Start Date,End Date,Group,Year,Month,State,Age Group,COVID-19 Deaths,Total Deaths,Population
1/1/20,4/24/21,By Total,0.0,0.0,Montana,55-64 years,170.0,1834.0,150008.0
1/1/20,4/24/21,By Total,0.0,0.0,Montana,65-74 years,343.0,3102.0,124631.0
1/1/20,4/24/21,By Total,0.0,0.0,Montana,75-84 years,468.0,3825.0,58951.0
1/1/20,4/24/21,By Total,0.0,0.0,Montana,85 years and over,515.0,4571.0,22855.0
1/1/20,4/24/21,By Total,0.0,0.0,Nebraska,Under 5 years,0.0,37.0,130880.0
1/1/20,4/24/21,By Total,0.0,0.0,Nebraska,5-14 years,0.0,60.0,266296.0
1/1/20,4/24/21,By Total,0.0,0.0,Nebraska,15-24 years,0.0,246.0,268196.0
1/1/20,4/24/21,By Total,0.0,0.0,Nebraska,25-34 years,17.0,377.0,255338.0
1/1/20,4/24/21,By Total,0.0,0.0,Nebraska,35-44 years,28.0,593.0,243139.0
1/1/20,4/24/21,By Total,0.0,0.0,Nebraska,45-54 years,104.0,1144.0,215808.0
1/1/20,4/24/21,By Total,0.0,0.0,Nebraska,55-64 years,278.0,2890.0,242293.0
1/1/20,4/24/21,By Total,0.0,0.0,Nebraska,65-74 years,548.0,4768.0,178908.0
1/1/20,4/24/21,By Total,0.0,0.0,Nebraska,75-84 years,808.0,6050.0,90492.0
1/1/20,4/24/21,By Total,0.0,0.0,Nebraska,85 years and over,1023.0,8548.0,43058.0
1/1/20,4/24/21,By Total,0.0,0.0,Nevada,Under 5 years,0.0,42.0,185575.0
1/1/20,4/24/21,By Total,0.0,0.0,Nevada,5-14 years,0.0,70.0,392066.0
1/1/20,4/24/21,By Total,0.0,0.0,Nevada,15-24 years,11.0,485.0,365218.0
1/1/20,4/24/21,By Total,0.0,0.0,Nevada,25-34 years,53.0,945.0,453116.0
1/1/20,4/24/21,By Total,0.0,0.0,Nevada,35-44 years,130.0,1425.0,410505.0
1/1/20,4/24/21,By Total,0.0,0.0,Nevada,45-54 years,386.0,2755.0,394228.0
1/1/20,4/24/21,By Total,0.0,0.0,Nevada,55-64 years,816.0,5812.0,383476.0
1/1/20,4/24/21,By Total,0.0,0.0,Nevada,65-74 years,1442.0,9559.0,303363.0
1/1/20,4/24/21,By Total,0.0,0.0,Nevada,75-84 years,1622.0,10823.0,147793.0
